id,headline,links,short_description,keywords
1,143 Miles in 35 Days: Lessons Learned,https://www.huffingtonpost.com/entry/running-lessons_us_5b9dc0a4e4b03a1dcc8c72d1,"Resting is part of training. I've confirmed what I sort of already knew: I'm not built for running streaks. I'm built for hard workouts three to five days a week with lots of cross training, physical therapy and foam rolling. But I've also confirmed that I'm stubborn with myself.",running-lessons
2,Talking to Yourself: Crazy or Crazy Helpful?,https://www.huffingtonpost.com/entry/talking-to-yourself-crazy_us_5b9def86e4b03a1dcc8f142c,"Think of talking to yourself as a tool to coach yourself through a challenge, or to narrate your own experiences to yourself. In any case, treat yourself with respect and you just may find you enjoy your own company.",talking-to-yourself-crazy
3,Crenezumab: Trial Will Gauge Whether Alzheimer's Drug Can Prevent Or Slow The Disease,https://www.huffingtonpost.com/entry/crenezumab-alzheimers-disease-drug_us_5b9bb691e4b03a1dcc79ce63,The clock is ticking for the United States to find a cure. The team is working on the study with Dr. Francisco Lopera of,crenezumab-alzheimers-disease-drug
4,"Oh, What a Difference She Made",https://www.huffingtonpost.com/entry/meaningful-life_us_5b9b8f86e4b03a1dcc789dcc,"If you want to be busy, keep trying to be perfect. If you want to be happy, focus on making a difference.",meaningful-life
5,Green Superfoods,https://www.huffingtonpost.com/entry/green-superfoods_us_5b9b72eae4b03a1dcc77a536,"First, the bad news: Soda bread, corned beef and beer do not a highly nutritious meal make. But as luck (of the Irish!) would",green-superfoods
6,Bad Love Advice: 9 Lessons To Unlearn,https://www.huffingtonpost.com/entry/bad-love-advice-from-movies_us_5b9ccd04e4b03a1dcc81fc50,"By Carey Moss for YouBeauty.com Love rom-coms, love songs and breakup songs? There are a few lessons they teach us we might",bad-love-advice-from-movies
7,The Happiest (And Unhappiest) States In The U.S.,https://www.huffingtonpost.com/entry/happiest-state-well-being-united-states-gallup_us_5b9b620be4b03a1dcc771683,"The nation in general scored a 66.2 in 2011 on the 0-to-100 scale, which is down a little bit from 2010, when the score was",happiest-state-well-being-united-states-gallup
8,Seaweed: The Green Superfood You're Not Eating -- But Should Be,https://www.huffingtonpost.com/entry/superfood-seaweed-health-benefits_us_5b9d7315e4b03a1dcc88220e,"It's also worth remembering that if the water the seaweed comes from is contaminated (with, say, toxic metals or arsenic",superfood-seaweed-health-benefits
9,Addicted to Food?,https://www.huffingtonpost.com/entry/food-addiction_us_5b9ce0e3e4b03a1dcc82a300,"If you look at our culture's eating behavior, it certainly looks like addiction. Any situation is an opportunity to eat. Once we've started eating we don't seem to know when to stop, even when we want to, even when we know we're hurting ourselves.",food-addiction
10,High Tech Works When It Enables High Touch,https://www.huffingtonpost.com/entry/high-tech-works-when-it-e_us_5b9dc30de4b03a1dcc8c9386,"Franis-Marie Arouet, 18th century French author and iconoclast, better known as Voltaire, quipped that, ""The art of medicine",high-tech-works-when-it-e
11,Conflict: 7 Decisions to Learn Instead of Fight,https://www.huffingtonpost.com/entry/conflict-resolution_us_5b9dccc4e4b03a1dcc8d0b4d,"If the other person never opens to caring conflict resolution, then you need to decide for yourself how to take loving care of yourself in the face of the unresolved conflict. This means accepting your helplessness over the other person and doing your own inner learning to discover what would be in your highest good.",conflict-resolution
12,The Case For Lifting Heavy (VIDEO),https://www.huffingtonpost.com/entry/heavy-lifting-video_us_5b9dc3b2e4b03a1dcc8c9d34,And the benefits are more than skin deep. Annie Tran turned to heavy lifting after a cycling accident left her with three,heavy-lifting-video
13,A Show of Kindness: Good Works? Whatever Works,https://www.huffingtonpost.com/entry/philanthropy_us_5b9d9cc0e4b03a1dcc8a3a39,"I once wrestled -- for about four minutes -- with the question of whether I should approach Hugh Hefner, through a close mutual friend, for a major contribution to the humanitarian nonprofit I was serving as CEO of. Would I and my organization be forever tarnished by smut money?",philanthropy
14,Time to Sweep Up the Confetti and Start Saving Lives,https://www.huffingtonpost.com/entry/food-policy_us_5b9c7f2ce4b03a1dcc7f361e,"The Obama administration should use the next four years to pursue even more aggressive initiatives that make our food supply safer, our kids better protected from junk-food marketers, and our diets healthier",food-policy
